Lat,Long,Street,Dummy1,PriceSEK,PriceSQM,Dummy2
0.0,0.0,FYRVAKTARKROKEN 26: FYRVAKTARKROKEN 26:BLASUT:Sweden,SLUTPRISSEK,3100000,65957,KR/M2
0.0,0.0,BALTZAR VON PLATENS GATA 7C:KUNGSHOLMEN-NORRMALARSTRAND:STOCKHOLM:Sweden,SLUTPRISSEK,4400000,95652,KR/M2
0.0,0.0,SIBELIUSGANGEN 50:KISTA:STOCKHOLM:Sweden,SLUTPRISSEK,1995000,24660,KR/M2
0.0,0.0,HAMMARBY ALLÉ 105: HAMMARBY ALLÉ 105:HAMMARBYSJOSTAD:Sweden,SLUTPRISSEK,4010000,71607,KR/M2
0.0,0.0,MAMSELL ULLAS VAG 3:MALARHOJDEN:STOCKHOLM:Sweden,SLUTPRISSEK,3500000,59322,KR/M2
0.0,0.0,TROLLESUNDSVAGEN 106:HOGDALEN:STOCKHOLM:Sweden,SLUTPRISSEK,1925000,75490,KR/M2
0.0,0.0,WARFVINGES VAG 18:VASTRAKUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,6250000,71023,KR/M2
0.0,0.0,KUNGSKLIPPAN 11: KUNGSKLIPPAN 11:KUNGSHOLMEN/KUNGSHOLMSTORG:Sweden,SLUTPRISSEK,2610000,108750,KR/M2
0.0,0.0,OSTERSUNDSGATAN 6:VALLINGBY-RACKSTA:STOCKHOLM:Sweden,SLUTPRISSEK,2280000,49565,KR/M2
0.0,0.0,GRONDAL:STOCKHOLM:48 M2   2 RUM:Sweden,SLUTPRISSEK,2705000,56354,KR/M2
0.0,0.0,AHLSELLVAGEN 18:HJORTHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,3200000,72727,KR/M2
0.0,0.0,PIRUETTVAGEN 4:HAGERSTENSASEN:STOCKHOLM:Sweden,SLUTPRISSEK,3425000,54365,KR/M2
0.0,0.0,KARLSBODAVAGEN 44:BROMMA-MARIEHALL:STOCKHOLM:Sweden,SLUTPRISSEK,4975000,60671,KR/M2
0.0,0.0,YSTADSVAGEN 65:BJORKHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,3415000,54206,KR/M2
0.0,0.0,SYLVESTERGATAN 8 E - 2:LISEBERG/ORBYSLOTT:STOCKHOLM:Sweden,SLUTPRISSEK,6850000
0.0,0.0,ANGERMANNAGATAN 170: ANGERMANNAGATAN 170:VALLINGBYCENTRUM:Sweden,SLUTPRISSEK,3050000,40667,KR/M2
0.0,0.0,LUNDAGATAN 36C:SODERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,5000000,119048,KR/M2
0.0,0.0,LILLHAGSVAGEN 18: LILLHAGSVAGEN 18:HAGSATRA:Sweden,SLUTPRISSEK,2250000,32609,KR/M2
0.0,0.0,BALLONGGATAN 9:SKARPNACK:STOCKHOLM:Sweden,SLUTPRISSEK,3010000,42394,KR/M2
0.0,0.0,OREGRUNDSGATAN 7:GARDET/OSTERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,3850000,65254,KR/M2
0.0,0.0,OLSHAMMARSGATAN 66:HAGSATRAORMKARR:STOCKHOLM:Sweden,SLUTPRISSEK,2470000,28229,KR/M2
0.0,0.0,HALSINGEGATAN 8:STOCKHOLM:33 M2   1 RUM:Sweden,SLUTPRISSEK,3350000,101515,KR/M2
0.0,0.0,DOBELNSGATAN 52:VASASTAN:STOCKHOLM:Sweden,SLUTPRISSEK,3210000,100000,KR/M2
0.0,0.0,SIBYLLEGATAN 83: SIBYLLEGATAN 83:OSTERMALM:Sweden,SLUTPRISSEK,6125000,91418,KR/M2
